 TIME, ISTEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
 3.899985E+00,   650,  2.852892E+00, -1.066464E-03, -2.852891E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.671987E-07, -4.658978E-06, -1.221522E-02,  5.000000E-01
 3.959985E+00,   660,  2.857997E+00, -1.092354E-03, -2.857997E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.799027E-07, -4.476882E-06, -1.154546E-02,  5.000000E-01
 4.019984E+00,   670,  2.863033E+00, -8.951451E-04, -2.863033E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.596764E-08, -4.245338E-06, -1.347998E-02,  5.000000E-01
 4.079984E+00,   680,  2.868011E+00, -4.933070E-04, -2.868011E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.529063E-08, -3.987408E-06, -2.315502E-02,  5.000000E-01
 4.139982E+00,   690,  2.872924E+00,  6.664383E-05, -2.872924E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.661637E-08, -3.735828E-06,  1.617284E-01,  5.000000E-01
 4.199982E+00,   700,  2.877781E+00,  7.257621E-04, -2.877781E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.472743E-08, -3.503248E-06,  1.400669E-02,  5.000000E-01
 4.259982E+00,   710,  2.882580E+00,  1.406480E-03, -2.882579E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.758644E-08, -3.334820E-06,  6.901153E-03,  5.000000E-01
 4.319980E+00,   720,  2.887331E+00,  2.033536E-03, -2.887331E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.119895E-08, -3.234490E-06,  4.633164E-03,  5.000000E-01
 4.379980E+00,   730,  2.892040E+00,  2.531183E-03, -2.892039E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.797955E-08, -3.227958E-06,  3.705350E-03,  5.000000E-01
 4.439980E+00,   740,  2.896708E+00,  2.845388E-03, -2.896706E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.195700E-08, -3.386826E-06,  3.436740E-03,  5.000000E-01
 4.499979E+00,   750,  2.901326E+00,  2.948494E-03, -2.901325E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.381396E-08, -3.687950E-06,  3.596860E-03,  5.000000E-01
 4.559978E+00,   760,  2.905884E+00,  2.835065E-03, -2.905882E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.694175E-07, -4.084276E-06,  4.127137E-03,  5.000000E-01
 4.619977E+00,   770,  2.910372E+00,  2.520807E-03, -2.910371E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.335414E-07, -4.567461E-06,  5.179309E-03,  5.000000E-01
 4.679977E+00,   780,  2.914799E+00,  2.053383E-03, -2.914799E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.842223E-07, -5.038454E-06,  7.012811E-03,  5.000000E-01
 4.739976E+00,   790,  2.919183E+00,  1.486523E-03, -2.919183E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.250503E-07, -5.410070E-06,  1.040037E-02,  5.000000E-01
 4.799975E+00,   800,  2.923569E+00,  8.916492E-04, -2.923569E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.606189E-07, -5.435259E-06,  1.741423E-02,  5.000000E-01
 4.859975E+00,   810,  2.927991E+00,  2.860788E-04, -2.927991E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.746250E-07, -5.223983E-06,  5.211645E-02,  5.000000E-01
 4.919974E+00,   820,  2.932446E+00, -2.840366E-04, -2.932446E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.562203E-07, -5.135334E-06, -5.176714E-02,  5.000000E-01
 4.979973E+00,   830,  2.936903E+00, -7.212561E-04, -2.936903E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.133872E-07, -5.049646E-06, -2.012430E-02,  5.000000E-01
 5.039973E+00,   840,  2.941343E+00, -9.634490E-04, -2.941343E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.636246E-07, -4.728004E-06, -1.415569E-02,  5.000000E-01
 5.099972E+00,   850,  2.945741E+00, -1.008113E-03, -2.945741E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.077421E-07, -4.209968E-06, -1.209759E-02,  5.000000E-01
 5.159972E+00,   860,  2.950083E+00, -8.725735E-04, -2.950083E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.498629E-07, -3.709635E-06, -1.237014E-02,  5.000000E-01
 5.219970E+00,   870,  2.954381E+00, -5.730951E-04, -2.954381E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.046951E-08, -3.371606E-06, -1.722632E-02,  5.000000E-01
 5.279970E+00,   880,  2.958633E+00, -1.241407E-04, -2.958633E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.709100E-08, -3.136068E-06, -7.433765E-02,  5.000000E-01
 5.339970E+00,   890,  2.962817E+00,  4.275441E-04, -2.962817E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.818805E-09, -2.958488E-06,  2.047258E-02,  5.000000E-01
 5.399969E+00,   900,  2.966938E+00,  1.017019E-03, -2.966938E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.880424E-09, -2.853796E-06,  8.340179E-03,  5.000000E-01
 5.459969E+00,   910,  2.970981E+00,  1.578779E-03, -2.970981E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.104400E-10, -2.834490E-06,  5.332876E-03,  5.000000E-01
 5.519968E+00,   920,  2.974955E+00,  2.046579E-03, -2.974954E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.072233E-08, -2.894779E-06,  4.194675E-03,  5.000000E-01
 5.579967E+00,   930,  2.978864E+00,  2.364958E-03, -2.978863E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.232016E-08, -3.023649E-06,  3.773719E-03,  5.000000E-01
 5.639966E+00,   940,  2.982702E+00,  2.496818E-03, -2.982701E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.461060E-07, -3.218346E-06,  3.787417E-03,  5.000000E-01
