 ISWEEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
  3500,  3.105791E+00, -4.483625E-04, -3.105791E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.531543E-07, -6.588542E-06, -4.529701E-02,  5.000000E-01
  3550,  3.105866E+00, -6.812833E-04, -3.105866E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.210112E-07, -5.859634E-06, -2.653555E-02,  5.000000E-01
  3600,  3.105933E+00, -7.076222E-04, -3.105933E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.001808E-07, -5.145172E-06, -2.244189E-02,  5.000000E-01
  3650,  3.105991E+00, -5.655134E-04, -3.105991E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.065480E-08, -4.539616E-06, -2.477280E-02,  5.000000E-01
  3700,  3.106045E+00, -3.003246E-04, -3.106045E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.092882E-08, -4.110378E-06, -4.220796E-02,  5.000000E-01
  3750,  3.106091E+00,  4.211791E-05, -3.106091E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.000621E-07, -3.875419E-06,  2.834267E-01,  5.000000E-01
  3800,  3.106141E+00,  4.139621E-04, -3.106141E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.160988E-07, -3.833780E-06,  2.848609E-02,  5.000000E-01
  3850,  3.106181E+00,  7.664791E-04, -3.106181E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.360400E-07, -3.959019E-06,  1.586656E-02,  5.000000E-01
  3900,  3.106219E+00,  1.062964E-03, -3.106219E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.570740E-07, -4.202574E-06,  1.213309E-02,  5.000000E-01
  3950,  3.106252E+00,  1.282840E-03, -3.106252E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.771202E-07, -4.522317E-06,  1.081221E-02,  5.000000E-01
  4000,  3.106282E+00,  1.410255E-03, -3.106282E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.945930E-07, -4.871232E-06,  1.059158E-02,  5.000000E-01
  4050,  3.106313E+00,  1.466958E-03, -3.106312E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.093547E-07, -5.174896E-06,  1.081523E-02,  5.000000E-01
  4100,  3.106343E+00,  1.453230E-03, -3.106343E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.209582E-07, -5.483390E-06,  1.156894E-02,  5.000000E-01
  4150,  3.106352E+00,  1.336073E-03, -3.106352E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.219362E-07, -5.750874E-06,  1.320460E-02,  5.000000E-01
  4200,  3.106376E+00,  1.198320E-03, -3.106376E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.184795E-07, -5.872164E-06,  1.503995E-02,  5.000000E-01
  4250,  3.106394E+00,  1.026706E-03, -3.106394E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.135154E-07, -5.940447E-06,  1.776541E-02,  5.000000E-01
  4300,  3.106404E+00,  8.698065E-04, -3.106404E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.074507E-07, -5.890726E-06,  2.079948E-02,  5.000000E-01
  4350,  3.106426E+00,  7.209755E-04, -3.106426E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.990125E-07, -5.795579E-06,  2.469505E-02,  5.000000E-01
  4400,  3.106434E+00,  6.008879E-04, -3.106434E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.903683E-07, -5.665951E-06,  2.897468E-02,  5.000000E-01
  4450,  3.106451E+00,  5.223716E-04, -3.106451E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.819081E-07, -5.494830E-06,  3.232854E-02,  5.000000E-01
  4500,  3.106467E+00,  4.762037E-04, -3.106467E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.748681E-07, -5.342381E-06,  3.448327E-02,  5.000000E-01
  4550,  3.106474E+00,  4.565383E-04, -3.106474E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.676889E-07, -5.201996E-06,  3.502921E-02,  5.000000E-01
  4600,  3.106483E+00,  4.658080E-04, -3.106483E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.634328E-07, -5.067393E-06,  3.344369E-02,  5.000000E-01
  4650,  3.106491E+00,  5.322152E-04, -3.106491E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.649245E-07, -4.930487E-06,  2.846892E-02,  5.000000E-01
  4700,  3.106493E+00,  6.074281E-04, -3.106493E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.703662E-07, -4.837436E-06,  2.445902E-02,  5.000000E-01
  4750,  3.106501E+00,  6.749796E-04, -3.106501E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.745750E-07, -4.858490E-06,  2.210189E-02,  5.000000E-01
  4800,  3.106510E+00,  7.442684E-04, -3.106510E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.780535E-07, -4.893443E-06,  2.018556E-02,  5.000000E-01
  4850,  3.106514E+00,  8.022992E-04, -3.106514E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.831079E-07, -4.935905E-06,  1.888366E-02,  5.000000E-01
  4900,  3.106517E+00,  8.472147E-04, -3.106517E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.873982E-07, -4.998026E-06,  1.810527E-02,  5.000000E-01
  4950,  3.106521E+00,  8.811671E-04, -3.106521E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.921562E-07, -5.071663E-06,  1.766189E-02,  5.000000E-01
  5000,  3.106527E+00,  9.030130E-04, -3.106527E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.961751E-07, -5.140560E-06,  1.746720E-02,  5.000000E-01
  5050,  3.106532E+00,  9.150916E-04, -3.106532E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.983606E-07, -5.196498E-06,  1.742418E-02,  5.000000E-01
